Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.0258,Tue Jun 19 20:49:18 +0000 2018,0.111,0.737,0.152,President Trump's top allies in the media have struggled this week to formulate a coherent defense of his administr… https://t.co/RYenEAxGqp,64,@CNN
0.0,Tue Jun 19 19:30:10 +0000 2018,0.0,1.0,0.0,"Kevin Costner saddles up for TV in the modern-day western ""Yellowstone"" https://t.co/A2bNOgsteI https://t.co/SZhioT0i8G",65,@CNN
-0.4404,Tue Jun 19 16:30:03 +0000 2018,0.139,0.861,0.0,Donald Trump Jr. has withdrawn from a fundraiser for George P. Bush because of criticism for President Trump stemmi… https://t.co/koX5u7yXie,66,@CNN
0.0,Tue Jun 19 12:58:31 +0000 2018,0.0,1.0,0.0,"RT @NewDay: Antar Davidson says he quit his job at a migrant youth shelter because ""the direction the organization was taking was ... very…",67,@CNN
0.0,Tue Jun 19 08:51:57 +0000 2018,0.0,1.0,0.0,Why Trump is digging in on separating families at the border | Analysis by @StCollinson https://t.co/1H8GzF33RG https://t.co/POD9kxi1pm,68,@CNN
0.7845,Tue Jun 19 04:01:10 +0000 2018,0.0,0.669,0.331,"""Black Panther"" star Chadwick Boseman was accepting an MTV award for playing a superhero when he invited James Shaw… https://t.co/LFSkt1t2Jh",69,@CNN
0.0,Tue Jun 19 02:11:05 +0000 2018,0.0,1.0,0.0,"RT @AC360: CNN’s @Bakari_Sellers: “This is not who America is… but this is exactly who Donald Trump is… he talks about people being aliens,…",70,@CNN
-0.4019,Tue Jun 19 00:21:04 +0000 2018,0.119,0.881,0.0,Qatar is pushing back against requests for documents that a Trump ally says would show the Gulf nation hacked his p… https://t.co/lCp9PWPwkO,71,@CNN
-0.3612,Mon Jun 18 22:01:00 +0000 2018,0.135,0.865,0.0,"All five living first ladies — three Democrats and two Republicans — have criticized the White House's ""zero-tolera… https://t.co/vEhGST1gzQ",72,@CNN
-0.4257,Mon Jun 18 19:51:08 +0000 2018,0.214,0.786,0.0,Senate Republicans did not want another immigration fight. Now they might not have a choice. https://t.co/gMLWkTESi8 https://t.co/QV6obh6vKM,73,@CNN
0.0,Mon Jun 18 17:00:02 +0000 2018,0.0,1.0,0.0,Garry Hartman runs one of the few chassis manufacturers left in the US. But stiff competition from China is making… https://t.co/tkvNDXEDGt,74,@CNN
-0.6597,Mon Jun 18 13:40:05 +0000 2018,0.18,0.82,0.0,"The onset of diabetes after the age of 50 could be an early sign of pancreatic cancer, a new study suggests… https://t.co/BsaM5WTmXq",75,@CNN
-0.7717,Mon Jun 18 10:03:13 +0000 2018,0.251,0.749,0.0,"RT @cnni: Audi CEO Rupert Stadler has been arrested in Germany as part of an investigation into emissions cheating, according to prosecutor…",76,@CNN
0.0,Mon Jun 18 06:12:04 +0000 2018,0.0,1.0,0.0,The introduction of HPV vaccines in England led to an 86% reduction in rates of the cancer-causing infection https://t.co/hIZQy1R0Nv,77,@CNN
-0.128,Sun Jun 17 22:45:07 +0000 2018,0.13,0.87,0.0,Brazil held by Switzerland despite Philippe Coutinho wonder strike https://t.co/jRn0M9Tr4w https://t.co/kRLwwCeJpn,78,@CNN
0.0,Sun Jun 17 18:00:17 +0000 2018,0.0,1.0,0.0,Singer John Legend calls out House Speaker Paul Ryan for Father's Day tweet as immigrant families are being separat… https://t.co/YXJKO86JX4,79,@CNN
-0.5859,Sun Jun 17 12:53:34 +0000 2018,0.278,0.595,0.127,"BREAKING: At least 1 dead and 20 people injured after a shooting at a New Jersey art festival, authorities say… https://t.co/w1fj6oteuN",80,@CNN
0.2023,Sun Jun 17 05:01:00 +0000 2018,0.0,0.899,0.101,This raccoon’s harrowing journey to the top of a building made it an instant internet star https://t.co/c2YJcEZjEY https://t.co/e1iHJe7hcF,81,@CNN
0.0,Sat Jun 16 21:53:00 +0000 2018,0.0,1.0,0.0,"Sef Scott, a student with autism, is usually nonverbal. But he stood before his high school classmates to deliver a… https://t.co/2UiS5sHOVT",82,@CNN
0.2263,Sat Jun 16 18:50:03 +0000 2018,0.0,0.913,0.087,"A US Coast Guard crew seized nearly 12,000 pounds of cocaine worth around $206 million off the coasts of Mexico, Ce… https://t.co/vA4s6j3adz",83,@CNN
0.2263,Sat Jun 16 15:47:21 +0000 2018,0.0,0.905,0.095,Trump attorney Rudy Giuliani clarifies comments about Joe Biden in which he called the former Democratic vice presi… https://t.co/fpwVJkCVMC,84,@CNN
-0.0281,Sat Jun 16 09:01:08 +0000 2018,0.129,0.664,0.207,"This accomplished clarinet player was accepted to his dream school, but never received the good news because his th… https://t.co/fIiI9SLbSK",85,@CNN
0.0,Sat Jun 16 03:31:05 +0000 2018,0.0,1.0,0.0,How Frida Kahlo's fashions brought Mexican politics to the world stage https://t.co/bMIjGcvTgp https://t.co/pfwuix6V0u,86,@CNN
0.0,Sat Jun 16 00:51:04 +0000 2018,0.0,1.0,0.0,A Monumental Week in Trumpworld | Analysis by @CillizzaCNN https://t.co/iwDXJqBYeX https://t.co/gf8CCvmEcB,87,@CNN
0.0,Fri Jun 15 22:31:09 +0000 2018,0.0,1.0,0.0,"A child in Venezuela who was reported to have a common symptom of polio does not have the viral disease, World Heal… https://t.co/cQG0Nu9Xx5",88,@CNN
0.0572,Fri Jun 15 20:51:06 +0000 2018,0.089,0.805,0.106,These are the videos you don't want to miss this week https://t.co/NSk6xVlqdC https://t.co/znLxBEHdzQ,89,@CNN
0.0,Fri Jun 15 19:21:07 +0000 2018,0.0,1.0,0.0,The 49 wildest quotes from President Trump's bananas interview with Fox News https://t.co/Z8UBg9G7jB https://t.co/Z8uZ17Jt9m,90,@CNN
0.0,Fri Jun 15 17:29:28 +0000 2018,0.0,1.0,0.0,Ellen DeGeneres is heading out on tour — sort of https://t.co/sn6XqsIOdx https://t.co/jL2TJLIxP6,91,@CNN
0.5423,Fri Jun 15 15:23:03 +0000 2018,0.0,0.809,0.191,"President Trump jokes he wants ""my people"" to ""sit up at attention"" like North Koreans do for Kim Jong Un… https://t.co/FrrqcDi9nK",92,@CNN
